Date,Low,Open,Volume,High,Close,Adjusted Close
19-08-2004,2.4014010429382324,2.502502918243408,893181924,2.6041040420532227,2.5110108852386475,2.5048084259033203
20-08-2004,2.515014886856079,2.527777910232544,456686856,2.7297298908233643,2.7104599475860596,2.7037649154663086
23-08-2004,2.7289791107177734,2.771522045135498,365122512,2.8398399353027344,2.7377378940582275,2.730975389480591
24-08-2004,2.59184193611145,2.7837839126586914,304946748,2.792793035507202,2.6243739128112793,2.617891550064087
25-08-2004,2.599600076675415,2.626626968383789,183772044,2.7027029991149902,2.6526529788970947,2.6461007595062256
26-08-2004,2.6191189289093018,2.626375913619995,141897960,2.701451063156128,2.7004499435424805,2.693779706954956
27-08-2004,2.644895076751709,2.705204963684082,124235640,2.7182180881500244,2.6564059257507324,2.6498444080352783
30-08-2004,2.5528030395507812,2.6346349716186523,103935960,2.63988995552063,2.5528030395507812,2.546497344970703
31-08-2004,2.5565569400787354,2.5600600242614746,98357544,2.5953450202941895,2.561811923980713,2.5554840564727783
01-09-2004,2.49424409866333,2.5700700283050537,182765052,2.576827049255371,2.508759021759033,2.5025622844696045
02-09-2004,2.47597599029541,2.482232093811035,302373324,2.561811923980713,2.540290117263794,2.534015655517578
03-09-2004,2.485485076904297,2.526276111602783,103048848,2.546046018600464,2.5027530193328857,2.4965710639953613
07-09-2004,2.4927430152893066,2.527777910232544,116950932,2.5525529384613037,2.5420420169830322,2.5357630252838135
08-09-2004,2.515014886856079,2.5210208892822266,99712188,2.5783278942108154,2.5600600242614746,2.553736686706543
09-09-2004,2.5275280475616455,2.5658159255981445,81234684,2.570319890975952,2.560309886932373,2.553985595703125
10-09-2004,2.5350348949432373,2.5425429344177246,173977848,2.6666669845581055,2.6358859539031982,2.6293752193450928
13-09-2004,2.6641640663146973,2.6684179306030273,156882960,2.712963104248047,2.690190076828003,2.6835451126098633
14-09-2004,2.672421932220459,2.688939094543457,216579204,2.8028030395507812,2.7900400161743164,2.7831485271453857
15-09-2004,2.7577579021453857,2.7667670249938965,214261524,2.8586089611053467,2.8028030395507812,2.79587984085083
16-09-2004,2.794044017791748,2.8113110065460205,185326488,2.897897958755493,2.852102041244507,2.8450570106506348
17-09-2004,2.8415920734405518,2.863363027572632,189450360,2.940190076828003,2.940190076828003,2.9329276084899902
20-09-2004,2.9221720695495605,2.9266769886016846,212575212,3.0430428981781006,2.9869871139526367,2.979609251022339
21-09-2004,2.9406909942626953,2.9982481002807617,144575280,3.0135140419006348,2.948949098587036,2.9416651725769043
22-09-2004,2.923172950744629,2.9379379749298096,151624224,2.9947450160980225,2.9624619483947754,2.9551446437835693
23-09-2004,2.9284279346466064,2.9739739894866943,170713116,3.068819046020508,3.023524045944214,3.0160558223724365
24-09-2004,2.996997117996216,3.026526927947998,182469348,3.1056060791015625,2.998749017715454,2.9913418292999268
27-09-2004,2.9479479789733887,2.9919919967651367,141322536,3.025024890899658,2.959459066390991,2.952148914337158
28-09-2004,3.008258104324341,3.035536050796509,338581080,3.188188076019287,3.1746749877929688,3.1668334007263184
29-09-2004,3.1589090824127197,3.170670986175537,610329060,3.3788790702819824,3.280280113220215,3.2721776962280273
30-09-2004,3.2282280921936035,3.25075101852417,275160564,3.3108110427856445,3.2432429790496826,3.23523211479187
01-10-2004,3.2257258892059326,3.27327299118042,302497200,3.3593590259552,3.3178179264068604,3.3096227645874023
04-10-2004,3.3541040420532227,3.3846349716186523,260455284,3.4251749515533447,3.379879951477051,3.3715314865112305
05-10-2004,3.3093090057373047,3.3698699474334717,299464236,3.466717004776001,3.4627130031585693,3.454159736633301
06-10-2004,3.4034030437469482,3.4421920776367188,267628104,3.464715003967285,3.4304299354553223,3.421956777572632
07-10-2004,3.4171669483184814,3.4264259338378906,282301416,3.5005009174346924,3.4747250080108643,3.466142416000366
08-10-2004,3.428929090499878,3.471471071243286,221390388,3.495495080947876,3.4466969966888428,3.438183307647705
